provider,route,free_now,cost_basis,historical_cost,catalogue_type,live_exposed,account_requirement,active_connection,context_window_live,context_window_forecast,input_modalities_live,output_modalities_live,input_modalities_forecast,output_modalities_forecast,tool_calling_declared,structured_output_declared,adviser_evidence_applicable,adviser_text_probe,native_search_probe,native_eligible_floor20_low,conservative_quality,forecast_readiness,probe_http,probe_error,cooling_down_at_snapshot,exclusion_reasons
codex,cx/gpt-5.6-sol-max,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'max' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-sol-max,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'max' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-sol-xhigh,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'xhigh' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-sol-xhigh,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'xhigh' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-sol-high,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'high' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-sol-high,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'high' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-sol-medium,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,85.432,codex_excluded,not probed,,False,reasoning configuration 'medium' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-sol-medium,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,85.432,codex_excluded,not probed,,False,reasoning configuration 'medium' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-sol-low,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,True,78.432,codex_excluded,not probed,,False,
codex,codex/gpt-5.6-sol-low,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,78.432,codex_excluded,not probed,,False,Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-terra-max,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'max' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-terra-max,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'max' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-terra-xhigh,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'xhigh' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-terra-xhigh,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'xhigh' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-terra-high,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'high' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-terra-high,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'high' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-terra-medium,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,85.432,codex_excluded,not probed,,False,reasoning configuration 'medium' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-terra-medium,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,85.432,codex_excluded,not probed,,False,reasoning configuration 'medium' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-terra-low,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,True,78.432,codex_excluded,not probed,,False,
codex,codex/gpt-5.6-terra-low,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,78.432,codex_excluded,not probed,,False,Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-luna-max,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'max' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-luna-max,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'max' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-luna-xhigh,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'xhigh' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-luna-xhigh,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'xhigh' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-luna-high,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'high' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-luna-high,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,90,codex_excluded,not probed,,False,reasoning configuration 'high' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-luna-medium,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,85.432,codex_excluded,not probed,,False,reasoning configuration 'medium' does not satisfy approved 'low'; native client tool-search destination is unqualified
codex,codex/gpt-5.6-luna-medium,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,85.432,codex_excluded,not probed,,False,reasoning configuration 'medium' does not satisfy approved 'low'; Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
codex,cx/gpt-5.6-luna-low,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,True,78.432,codex_excluded,not probed,,False,
codex,codex/gpt-5.6-luna-low,subscription,Codex connection,paid,chat,True,oauth,True,872000,872000,"['text', 'image']",['text'],"['text', 'image']",['text'],True,unknown,True,not probed,not reached/not probed,False,78.432,codex_excluded,not probed,,False,Responses client-contract compatibility is unresolved; native client tool-search destination is unqualified
