route	catalogue_provider	cost_class	quality_lower	context_tokens	probe
cx/gpt-5.6-sol-max	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-sol-max	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-sol-xhigh	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-sol-xhigh	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-sol-high	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-sol-high	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-sol-medium	codex	not_verified_free	85.432	872000	not_probed
codex/gpt-5.6-sol-medium	codex	not_verified_free	85.432	872000	not_probed
cx/gpt-5.6-sol-low	codex	not_verified_free	78.432	872000	not_probed
codex/gpt-5.6-sol-low	codex	not_verified_free	78.432	872000	not_probed
cx/gpt-5.6-terra-max	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-terra-max	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-terra-xhigh	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-terra-xhigh	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-terra-high	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-terra-high	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-terra-medium	codex	not_verified_free	85.432	872000	not_probed
codex/gpt-5.6-terra-medium	codex	not_verified_free	85.432	872000	not_probed
cx/gpt-5.6-terra-low	codex	not_verified_free	78.432	872000	not_probed
codex/gpt-5.6-terra-low	codex	not_verified_free	78.432	872000	not_probed
cx/gpt-5.6-luna-max	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-luna-max	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-luna-xhigh	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-luna-xhigh	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-luna-high	codex	not_verified_free	90	872000	not_probed
codex/gpt-5.6-luna-high	codex	not_verified_free	90	872000	not_probed
cx/gpt-5.6-luna-medium	codex	not_verified_free	85.432	872000	not_probed
codex/gpt-5.6-luna-medium	codex	not_verified_free	85.432	872000	not_probed
cx/gpt-5.6-luna-low	codex	not_verified_free	78.432	872000	not_probed
codex/gpt-5.6-luna-low	codex	not_verified_free	78.432	872000	not_probed
cx/gpt-5.5-xhigh	codex	not_verified_free	90	272000	not_probed
codex/gpt-5.5-xhigh	codex	not_verified_free	90	272000	not_probed
cx/gpt-5.5-high	codex	not_verified_free	90	272000	not_probed
codex/gpt-5.5-high	codex	not_verified_free	90	272000	not_probed
cx/gpt-5.5-medium	codex	not_verified_free	85.501	272000	not_probed
codex/gpt-5.5-medium	codex	not_verified_free	85.501	272000	not_probed
cx/gpt-5.5-low	codex	not_verified_free	78.501	272000	not_probed
codex/gpt-5.5-low	codex	not_verified_free	78.501	272000	not_probed
cx/codex-auto-review	codex	not_verified_free	20.0	400000	not_probed
codex/codex-auto-review	codex	not_verified_free	20.0	400000	not_probed
codex-auto-review	codex	not_verified_free	20.0	400000	not_probed
cx/gpt-5.6-sol	codex	not_verified_free	67.731	872000	not_probed
gpt-5.6-sol	codex	not_verified_free	67.731	872000	not_probed
cx/gpt-5.6-sol-ultra	codex	not_verified_free	80.432	872000	not_probed
codex/gpt-5.6-sol-ultra	codex	not_verified_free	80.432	872000	not_probed
gpt-5.6-sol-ultra	codex	not_verified_free	80.432	872000	not_probed
gpt-5.6-sol-max	codex	not_verified_free	90	872000	not_probed
gpt-5.6-sol-xhigh	codex	not_verified_free	90	872000	not_probed
gpt-5.6-sol-high	codex	not_verified_free	90	872000	not_probed
gpt-5.6-sol-medium	codex	not_verified_free	85.432	872000	not_probed
gpt-5.6-sol-low	codex	not_verified_free	78.432	872000	not_probed
cx/gpt-5.6-terra	codex	not_verified_free	51.286	872000	not_probed
gpt-5.6-terra	codex	not_verified_free	51.286	872000	not_probed
cx/gpt-5.6-terra-ultra	codex	not_verified_free	80.432	872000	not_probed
codex/gpt-5.6-terra-ultra	codex	not_verified_free	80.432	872000	not_probed
gpt-5.6-terra-ultra	codex	not_verified_free	80.432	872000	not_probed
gpt-5.6-terra-max	codex	not_verified_free	90	872000	not_probed
gpt-5.6-terra-xhigh	codex	not_verified_free	90	872000	not_probed
gpt-5.6-terra-high	codex	not_verified_free	90	872000	not_probed
gpt-5.6-terra-medium	codex	not_verified_free	85.432	872000	not_probed
gpt-5.6-terra-low	codex	not_verified_free	78.432	872000	not_probed
cx/gpt-5.6-luna	codex	not_verified_free	34.633	872000	not_probed
gpt-5.6-luna	codex	not_verified_free	34.633	872000	not_probed
gpt-5.6-luna-max	codex	not_verified_free	90	872000	not_probed
gpt-5.6-luna-xhigh	codex	not_verified_free	90	872000	not_probed
gpt-5.6-luna-high	codex	not_verified_free	90	872000	not_probed
gpt-5.6-luna-medium	codex	not_verified_free	85.432	872000	not_probed
gpt-5.6-luna-low	codex	not_verified_free	78.432	872000	not_probed
cx/gpt-5.5	codex	not_verified_free	80.501	272000	not_probed
codex/gpt-5.5	codex	not_verified_free	80.501	272000	not_probed
gpt-5.5	codex	not_verified_free	80.501	272000	not_probed
gpt-5.5-xhigh	codex	not_verified_free	90	272000	not_probed
gpt-5.5-high	codex	not_verified_free	90	272000	not_probed
gpt-5.5-medium	codex	not_verified_free	85.501	272000	not_probed
gpt-5.5-low	codex	not_verified_free	78.501	272000	not_probed
cx/gpt-5.3-codex-spark	codex	not_verified_free	80.501	400000	not_probed
codex/gpt-5.3-codex-spark	codex	not_verified_free	80.501	400000	not_probed
gpt-5.3-codex-spark	codex	not_verified_free	80.501	400000	not_probed
codex/gpt-5.6-sol	codex	not_verified_free			not_probed
codex/gpt-5.6-terra	codex	not_verified_free			not_probed
codex/gpt-5.6-luna	codex	not_verified_free			not_probed
dva/swe-1-7-lightning	devin-cli-agentic	not_verified_free	20.0	202752	not_probed
dva/swe-1-7	devin-cli-agentic	not_verified_free	20.0	262000	not_probed
dva/swe-1-6-fast	devin-cli-agentic	not_verified_free	20.0	200000	not_probed
dva/swe-1-6	devin-cli-agentic	not_verified_free	20.0	200000	not_probed
dva/claude-5-fable-max	devin-cli-agentic	not_verified_free	71.0	1000000	not_probed
dva/claude-5-fable-xhigh	devin-cli-agentic	not_verified_free	71.0	1000000	not_probed
dva/claude-5-fable-high	devin-cli-agentic	not_verified_free	68.0	1000000	not_probed
dva/claude-5-fable-medium	devin-cli-agentic	not_verified_free	63.0	1000000	not_probed
dva/claude-5-fable-low	devin-cli-agentic	not_verified_free	56.0	1000000	not_probed
dva/claude-opus-5-max	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/claude-opus-5-xhigh	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/claude-opus-5-high	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/claude-opus-5-medium	devin-cli-agentic	not_verified_free	85.138	1000000	not_probed
dva/claude-opus-5-low	devin-cli-agentic	not_verified_free	78.138	1000000	not_probed
dva/claude-opus-4-8-max	devin-cli-agentic	not_verified_free	58.0	1000000	not_probed
dva/claude-opus-4-8-xhigh	devin-cli-agentic	not_verified_free	58.0	1000000	not_probed
dva/claude-opus-4-8-high	devin-cli-agentic	not_verified_free	55.0	1000000	not_probed
dva/claude-opus-4-8-medium	devin-cli-agentic	not_verified_free	50.0	1000000	not_probed
dva/claude-opus-4-8-low	devin-cli-agentic	not_verified_free	43.0	1000000	not_probed
dva/claude-opus-4-7-max	devin-cli-agentic	not_verified_free	66.0	1000000	not_probed
dva/claude-opus-4-7-xhigh	devin-cli-agentic	not_verified_free	66.0	1000000	not_probed
dva/claude-opus-4-7-high	devin-cli-agentic	not_verified_free	63.0	1000000	not_probed
dva/claude-opus-4-7-medium	devin-cli-agentic	not_verified_free	58.0	1000000	not_probed
dva/claude-opus-4-7-low	devin-cli-agentic	not_verified_free	51.0	1000000	not_probed
dva/claude-opus-4-6-thinking-1m	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/claude-opus-4-6-thinking	devin-cli-agentic	not_verified_free	90	200000	not_probed
dva/claude-opus-4-6-1m	devin-cli-agentic	not_verified_free	77.244	1000000	not_probed
dva/claude-opus-4-6	devin-cli-agentic	not_verified_free	77.244	200000	not_probed
dva/claude-sonnet-5-max	devin-cli-agentic	not_verified_free	17.727	1000000	not_probed
dva/claude-sonnet-5-xhigh	devin-cli-agentic	not_verified_free	17.727	1000000	not_probed
dva/claude-sonnet-5-high	devin-cli-agentic	not_verified_free	14.727	1000000	not_probed
dva/claude-sonnet-5-medium	devin-cli-agentic	not_verified_free	9.727	1000000	not_probed
dva/claude-sonnet-5-low	devin-cli-agentic	not_verified_free	2.727	1000000	not_probed
dva/claude-sonnet-4-6-thinking-1m	devin-cli-agentic	not_verified_free	25.291	1000000	not_probed
dva/claude-sonnet-4-6-thinking	devin-cli-agentic	not_verified_free	25.291	200000	not_probed
dva/claude-sonnet-4-6-1m	devin-cli-agentic	not_verified_free	12.291	1000000	not_probed
dva/claude-sonnet-4-6	devin-cli-agentic	not_verified_free	12.291	200000	not_probed
dva/gpt-5-6-sol-max	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-sol-xhigh	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-sol-high	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-sol-medium	devin-cli-agentic	not_verified_free	85.501	1000000	not_probed
dva/gpt-5-6-sol-low	devin-cli-agentic	not_verified_free	78.501	1000000	not_probed
dva/gpt-5-6-terra-max	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-terra-xhigh	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-terra-high	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-terra-medium	devin-cli-agentic	not_verified_free	85.501	1000000	not_probed
dva/gpt-5-6-terra-low	devin-cli-agentic	not_verified_free	78.501	1000000	not_probed
dva/gpt-5-6-luna-max	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-luna-xhigh	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-luna-high	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/gpt-5-6-luna-medium	devin-cli-agentic	not_verified_free	85.501	1000000	not_probed
dva/gpt-5-6-luna-low	devin-cli-agentic	not_verified_free	78.501	1000000	not_probed
dva/gpt-5-5-xhigh	devin-cli-agentic	not_verified_free	90	272000	not_probed
dva/gpt-5-5-high	devin-cli-agentic	not_verified_free	90	272000	not_probed
dva/gpt-5-5-medium	devin-cli-agentic	not_verified_free	85.501	272000	not_probed
dva/gpt-5-5-low	devin-cli-agentic	not_verified_free	78.501	272000	not_probed
dva/gemini-3-1-pro-high	devin-cli-agentic	not_verified_free	42.551	1048576	not_probed
dva/gemini-3-1-pro-low	devin-cli-agentic	not_verified_free	30.551	1048576	not_probed
dva/gemini-3-7-flash-high	devin-cli-agentic	not_verified_free	42.551	200000	not_probed
dva/gemini-3-7-flash-medium	devin-cli-agentic	not_verified_free	37.551	200000	not_probed
dva/gemini-3-7-flash-low	devin-cli-agentic	not_verified_free	30.551	200000	not_probed
dva/gemini-3-7-flash-minimal	devin-cli-agentic	not_verified_free	25.551	200000	not_probed
dva/grok-4-5-high	devin-cli-agentic	not_verified_free	20.201	500000	not_probed
dva/grok-4-5-medium	devin-cli-agentic	not_verified_free	15.201	500000	not_probed
dva/grok-4-5-low	devin-cli-agentic	not_verified_free	8.201	500000	not_probed
dva/glm-5-2-max-1m	devin-cli-agentic	not_verified_free	53.87	1000000	not_probed
dva/glm-5-2-max	devin-cli-agentic	not_verified_free	53.87	200000	not_probed
dva/glm-5-2-1m	devin-cli-agentic	not_verified_free	45.87	1000000	not_probed
dva/glm-5-2	devin-cli-agentic	not_verified_free	45.87	200000	not_probed
dva/kimi-k3-max	devin-cli-agentic	not_verified_free	42.496	1048576	not_probed
dva/kimi-k3-high	devin-cli-agentic	not_verified_free	39.496	1048576	not_probed
dva/kimi-k3-low	devin-cli-agentic	not_verified_free	27.496	1048576	not_probed
dva/kimi-k2-7	devin-cli-agentic	not_verified_free	29.496	262144	not_probed
dva/inkling-max	devin-cli-agentic	not_verified_free	31.0	200000	not_probed
dva/inkling-xhigh	devin-cli-agentic	not_verified_free	31.0	200000	not_probed
dva/inkling-high	devin-cli-agentic	not_verified_free	28.0	200000	not_probed
dva/inkling-medium	devin-cli-agentic	not_verified_free	23.0	200000	not_probed
dva/inkling-low	devin-cli-agentic	not_verified_free	16.0	200000	not_probed
dva/inkling-none	devin-cli-agentic	not_verified_free	11.0	200000	not_probed
dva/deepseek-v4	devin-cli-agentic	not_verified_free	31.413	1048576	not_probed
dva/nemotron-3-ultra-nvfp4	devin-cli-agentic	not_verified_free	20.0	262144	not_probed
dva/claude-opus-5-max-low	devin-cli-agentic	not_verified_free	78.138	1000000	not_probed
dva/claude-opus-5-max-medium	devin-cli-agentic	not_verified_free	85.138	1000000	not_probed
dva/claude-opus-5-max-high	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/claude-opus-5-max-xhigh	devin-cli-agentic	not_verified_free	90	1000000	not_probed
dva/claude-opus-4-8-max-low	devin-cli-agentic	not_verified_free	43.0	1000000	not_probed
dva/claude-opus-4-8-max-medium	devin-cli-agentic	not_verified_free	50.0	1000000	not_probed
dva/claude-opus-4-8-max-high	devin-cli-agentic	not_verified_free	55.0	1000000	not_probed
dva/claude-opus-4-8-max-xhigh	devin-cli-agentic	not_verified_free	58.0	1000000	not_probed
